Jour,Population,Fabrication,Replica,Lactococcus,Leuconostoc,Cellulosimicrobium,Staphylococcus,Lactobacillus,Arthrobacter,Halomonas,Serratia,Acinetobacter,Romboutsia,Escherichia-Shigella,Pseudomonas,Rhodococcus,Bacillus
9,Bois,A,1,19754,7216,378,47,8,0,0,4,0,5,0,0,0,0
9,Bois,A,2,15680,3134,46,1,2,0,0,0,0,2,0,1,0,0
9,Bois,A,3,36081,8455,185,2,4,0,0,6,0,8,1,0,0,0
9,Bois,B,1,14654,6242,132,1,5,0,0,1,1,0,0,0,0,0
9,Bois,B,2,21665,5360,172,1,11,0,0,0,0,6,57,0,2,0
9,Bois,B,3,31654,7166,386,11,22,0,0,2,61,1,0,10,0,0
9,Bois,C,1,17516,4647,153,9,7,0,0,2,0,3,0,0,0,0
9,Bois,C,2,18833,4757,166,25,9,0,0,3,0,0,0,0,0,0
9,Bois,C,3,33486,6046,249,5,9,0,0,4,30,11,0,2,0,0
9,Ensilage,A,1,16867,8832,298,112,5,0,0,6,0,6,2,3,0,0
9,Ensilage,A,2,17885,5070,102,3,0,0,0,0,0,1,0,0,0,0
9,Ensilage,A,3,12102,4963,136,0,2,0,0,0,0,0,0,0,0,0
9,Ensilage,B,1,10961,3816,221,2,1,2,0,1,0,3,0,0,1,0
9,Ensilage,B,2,10168,3538,206,0,0,7,0,1,0,0,14,0,0,0
9,Ensilage,B,3,10540,3706,226,1,0,0,1,0,21,1,0,1,1,0
9,Ensilage,C,1,34457,7023,346,8,0,0,0,2,0,3,0,3,0,0
9,Ensilage,C,2,22917,11607,219,8,1,0,0,1,0,0,0,0,0,0
9,Ensilage,C,3,22606,13225,834,6,3,1,0,1,4,2,0,0,1,0
9,non-Roquefort,A,1,30779,9026,297,85,16,0,0,0,0,16,0,1,0,0
9,non-Roquefort,A,2,34629,9329,445,16,27,0,0,1,0,19,0,0,0,0
9,non-Roquefort,A,3,14364,9882,432,4,15,0,0,10,0,14,0,3,0,0
9,non-Roquefort,B,1,16026,5585,162,2,1,0,0,0,0,1,0,1,0,0
9,non-Roquefort,B,2,23039,2251,204,6,7,0,3,2,1,11,36,0,0,0
9,non-Roquefort,B,3,18256,5069,161,2,3,0,0,0,15,2,0,2,0,0
9,non-Roquefort,C,1,7947,4536,168,3,3,0,0,3,0,5,0,0,0,0
9,non-Roquefort,C,2,20301,3569,153,12,1,0,0,3,1,3,2,0,0,0
9,non-Roquefort,C,3,20145,5199,247,7,10,0,0,2,8,1,0,0,0,0
9,Roquefort,A,1,16447,29878,766,36,0,0,0,4,0,0,0,1,0,0
9,Roquefort,A,2,21344,13101,468,7,1,0,0,4,0,1,0,0,0,0
9,Roquefort,A,3,10181,3990,92,4,0,1,0,0,0,1,0,0,0,0
9,Roquefort,B,1,7992,3758,90,2,0,0,0,1,0,0,0,0,0,0
9,Roquefort,B,2,16023,8120,262,0,0,0,0,0,1,2,29,2,0,0
9,Roquefort,B,3,13502,9970,260,11,2,0,0,1,19,2,0,0,0,0
9,Roquefort,C,1,22583,8461,760,7,1,0,3,3,0,6,0,4,1,1
9,Roquefort,C,2,26417,8452,543,9,0,0,0,1,0,1,0,2,0,0
9,Roquefort,C,3,16610,10054,678,3,2,0,0,5,6,0,0,0,1,0
20,Bois,A,1,4639,8907,655,9,1,0,0,4,0,0,1,2,1,0
20,Bois,A,2,14560,13110,746,258,1,0,0,4,0,0,0,3,0,0
20,Bois,A,3,5705,24230,791,12,4,0,0,9,0,2,0,1,0,0
20,Bois,B,1,24948,14028,412,2,0,0,0,4,0,2,0,1,2,0
20,Bois,B,2,3151,23033,182,5,0,0,0,0,0,0,0,0,0,0
20,Bois,B,3,12860,21003,561,13,0,0,0,3,5,0,0,4,1,0
20,Bois,C,1,27025,21590,552,25,57,0,0,8,0,0,0,3,1,0
20,Bois,C,3,13159,25794,326,3,114,0,0,4,2,0,0,0,2,0
20,Ensilage,A,1,15322,20936,172,55,1,0,0,5,0,1,0,3,0,0
20,Ensilage,A,2,7353,30128,52,55,9,0,0,12,0,1,0,0,4,0
20,Ensilage,A,3,49993,5061,91,13,7,0,0,11,0,2,0,1,0,0
20,Ensilage,B,1,21300,8803,718,634,0,1,0,0,2,0,0,1,0,0
20,Ensilage,B,2,10893,7089,534,1,1,0,0,2,0,13,3,0,0,0
20,Ensilage,B,3,4910,27760,224,156,2,5,9,1,1,1,0,3,1,0
20,Ensilage,C,1,7496,7924,143,5,0,0,0,0,0,2,0,1,0,0
20,Ensilage,C,2,5335,4879,251,176,1,0,0,2,1,1,0,0,0,0
20,Ensilage,C,3,2845,20941,414,5,125,1,288,2,1,4,2,2,0,0
20,non-Roquefort,A,1,12899,15459,418,51,4,0,0,6,0,0,0,2,0,2
20,non-Roquefort,A,2,17582,28341,566,2,1,0,0,4,0,1,0,3,0,0
20,non-Roquefort,A,3,7659,22267,334,11,7,0,0,3,0,2,1,1,0,1
20,non-Roquefort,B,1,14582,7951,194,0,1,0,0,3,0,0,0,0,0,0
20,non-Roquefort,B,2,14304,12616,299,2,2,0,0,1,0,1,13,0,0,0
20,non-Roquefort,B,3,5480,17011,390,113,2,0,0,1,3,0,0,1,0,0
20,non-Roquefort,C,1,19780,16242,340,33,3,0,0,4,0,0,0,1,0,0
20,non-Roquefort,C,2,23512,16281,427,57,1,0,0,3,1,2,0,2,2,0
20,non-Roquefort,C,3,25180,11732,496,5,7,0,0,0,3,2,0,2,0,0
20,Roquefort,A,1,15326,8214,201,40,0,0,2,2,0,1,0,1,0,0
20,Roquefort,A,2,8712,9063,289,2,0,0,0,0,0,1,0,0,0,0
20,Roquefort,A,3,10416,16574,831,5,1,0,0,2,0,0,0,2,1,0
20,Roquefort,B,1,13443,17486,203,0,0,0,0,1,1,3,0,4,0,0
20,Roquefort,B,2,25709,6974,410,0,0,0,0,2,0,0,7,1,0,1
20,Roquefort,B,3,5760,14199,309,371,2,0,0,0,1,1,0,1,0,0
20,Roquefort,C,1,5909,6552,692,163,0,0,0,1,0,0,0,1,2,0
20,Roquefort,C,2,6867,24840,344,5,40,0,0,4,0,0,0,2,2,0
20,Roquefort,C,3,15089,10300,1104,6,20,1,6,11,9,0,0,1,1,0
